종목,티커,단타확률,중장기확률,단타정확도,중장기정확도,신호
아이티켐,309710.KS,53.16,100.0,47.22,36.67,SELL
프로티나,468530.KS,38.5,100.0,44.74,6.25,SELL
KB발해인프라,415640.KS,19.42,99.48,43.02,55.0,SELL
한스바이오메드,042520.KS,34.61,99.0,51.01,57.55,BUY
효성티앤씨,298020.KS,36.76,99.0,55.48,54.45,SELL
대신밸런스제19호스팩,482690.KS,26.19,99.0,59.09,68.29,SELL
링크솔루션,474650.KS,78.66,98.0,54.17,76.74,BUY
KC산업,112190.KS,37.86,98.0,60.03,62.66,SELL
엠앤씨솔루션,484870.KS,27.32,97.33,52.44,38.96,SELL
에이치브이엠,295310.KS,66.22,97.06,47.01,32.43,SELL
에이피알,278470.KS,48.71,97.0,48.94,49.63,BUY
대신밸류리츠,0030R0.KS,42.15,96.5,50.0,58.33,SELL
이뮨온시아,424870.KS,33.72,96.5,56.6,36.17,SELL
M83,476080.KS,65.89,96.06,51.43,59.6,SELL
한라캐스트,125490.KS,60.0,95.5,57.58,53.57,SELL
맵스리얼티,094800.KS,30.66,94.95,51.79,50.9,BUY
에이럭스,475580.KS,47.2,94.5,57.61,55.81,SELL
에스앤에스텍,101490.KS,47.1,92.92,53.47,47.97,BUY
제이알글로벌리츠,348950.KS,22.3,92.6,54.95,48.49,SELL
엔알비,475230.KS,34.5,92.5,44.74,100.0,BUY
오가닉티코스메틱,900300.KS,36.31,92.15,60.35,58.07,SELL
에피바이오텍,446440.KS,28.62,92.13,60.66,50.28,SELL
KH바텍,060720.KS,75.09,91.62,55.82,55.07,SELL
셀비온,308430.KS,53.21,90.06,52.63,56.67,SELL
에이아이코리아,364950.KS,22.5,90.0,60.71,36.0,SELL
원포유,122830.KS,36.25,89.95,55.78,55.09,SELL
파로스아이바이오,388870.KS,70.2,89.76,49.46,62.36,SELL
파인메딕스,387570.KS,54.7,89.71,53.75,41.33,SELL
서진시스템,178320.KS,74.43,89.08,50.38,50.93,BUY
씨메스,475400.KS,68.0,88.96,55.91,35.23,SELL
RFHIC,218410.KS,62.99,88.56,52.69,52.26,BUY
바이오프로테크,199290.KS,25.89,87.74,56.91,55.84,SELL
동방메디컬,240550.KS,68.62,87.18,55.56,50.0,SELL
뷰티스킨,406820.KS,59.44,87.0,53.51,48.04,SELL
넥스트바이오메디컬,389650.KS,51.84,86.9,47.17,58.0,SELL
메리츠금융지주,138040.KS,40.96,86.69,54.25,49.66,SELL
기가비스,420770.KS,8.12,86.68,56.35,47.12,BUY
부국증권,001270.KS,48.92,86.53,52.46,47.52,SELL
SNT홀딩스,036530.KS,57.4,86.31,49.11,43.36,SELL
에스비비테크,389500.KS,54.84,85.2,53.31,49.37,SELL
신한제11호스팩,452980.KS,21.88,84.7,57.31,64.85,SELL
우진엔텍,457550.KS,76.12,84.62,49.32,52.11,SELL
미원상사,002840.KS,43.68,84.57,51.45,49.77,SELL
유일로보틱스,388720.KS,48.14,84.47,50.88,49.82,SELL
애니메디솔루션,390110.KS,78.66,84.44,60.96,57.66,SELL
싸이맥스,160980.KS,49.35,84.41,51.72,48.52,BUY
마이크로디지탈,305090.KS,58.08,84.17,54.58,43.0,SELL
실리콘투,257720.KS,56.08,84.03,50.47,45.22,SELL
바이젠셀,308080.KS,60.83,83.85,53.07,48.12,SELL
싸이토젠,217330.KS,44.06,83.83,51.13,41.14,SELL
티에스아이,277880.KS,62.04,83.61,56.98,57.05,SELL
IBKS제23호스팩,467930.KS,49.2,83.61,61.69,58.11,SELL
CJ,001040.KS,50.0,82.96,52.24,47.97,SELL
세우글로벌,013000.KS,58.65,82.47,52.68,46.51,SELL
해성디에스,195870.KS,33.82,82.27,53.53,47.72,SELL
엘에이티,311060.KS,17.61,82.11,60.61,54.74,BUY
콘텐트리중앙,036420.KS,56.47,81.86,54.92,50.79,SELL
플리토,300080.KS,74.81,81.65,53.83,54.72,SELL
디아이티,110990.KS,47.49,81.64,56.88,51.65,BUY
씨티알모빌리티,308170.KS,79.28,81.59,56.58,65.78,SELL
