종목,티커,AI상승확률(%),백테스트정확도(%),외국인수급,뉴스점수,급등점수
RF시스템즈,474610.KS,64.03,59.09,0,0,100.0
에스지헬스케어,398120.KS,63.42,58.02,0,0,100.0
넥스트바이오메디컬,389650.KS,51.84,47.17,0,0,100.0
한국피아이엠,448900.KS,75.0,53.67,0,0,100.0
지투지바이오,456160.KS,34.87,26.47,0,0,100.0
한화비전,489790.KS,26.76,54.08,0,0,100.0
엘케이켐,489500.KS,50.53,53.62,0,0,95.58
아우토크립트,331740.KS,58.02,53.66,0,0,92.55
로킷헬스케어,376900.KS,57.93,51.85,0,0,90.47
프로티나,468530.KS,38.5,44.74,0,0,89.26
에어레인,163280.KS,70.76,41.11,0,0,87.96
티씨머티리얼즈,125020.KS,42.0,52.83,0,0,87.72
피앤에스로보틱스,460940.KS,86.0,57.27,0,0,79.29
루미르,474170.KS,87.79,46.81,0,0,77.76
HEM파마,376270.KS,66.41,58.24,0,0,77.5
미트박스,475460.KS,65.39,44.0,0,0,76.88
성우,458650.KS,57.24,59.78,0,0,75.64
셀비온,308430.KS,53.21,52.63,0,0,73.75
삼양엔씨켐,482630.KS,33.76,45.95,0,0,68.27
이엔셀,456070.KS,43.47,49.52,0,0,67.66
아이지넷,462980.KS,55.5,68.92,0,0,67.47
아이에스티이,212710.KS,26.59,61.11,0,0,66.86
유디엠텍,389680.KS,39.86,55.68,0,0,66.25
삼양컴텍,484590.KS,28.75,55.88,0,0,65.54
나우로보틱스,459510.KS,87.24,60.0,0,0,64.44
바이오포트,188040.KS,56.15,67.92,0,0,63.56
아이티켐,309710.KS,53.16,47.22,0,0,63.51
온코닉테라퓨틱스,476060.KS,65.17,45.68,0,0,63.14
에이유브랜즈,481070.KS,56.0,40.98,0,0,62.89
아이언디바이스,464500.KS,61.22,55.56,0,0,62.83
대한조선,439260.KS,47.0,51.35,0,0,60.51
쎄크,081180.KS,55.6,60.71,0,0,60.5
에스엠씨지,460870.KS,69.5,55.22,0,0,60.38
우양에이치씨,101970.KS,52.44,55.25,0,0,59.91
교보18호스팩,0041B0.KS,72.0,64.71,0,0,59.74
사이냅소프트,466410.KS,47.22,59.09,0,0,58.96
에이럭스,475580.KS,47.2,57.61,0,0,58.91
HS효성,487570.KS,59.79,46.36,0,0,57.88
그래피,318060.KS,55.5,66.67,0,0,57.39
오름테라퓨틱,475830.KS,73.52,50.7,0,0,56.75
아이비젼웍스,469750.KS,57.63,64.08,0,0,56.55
오가노이드사이언스,476040.KS,66.5,42.59,0,0,55.78
엠디바이스,226590.KS,34.6,43.28,0,0,55.68
쓰리빌리언,394800.KS,47.89,53.93,0,0,54.99
에스켐,475660.KS,36.91,59.09,0,0,54.65
하나34호스팩,484130.KS,38.59,62.5,0,0,54.34
파인메딕스,387570.KS,54.7,53.75,0,0,54.19
클로봇,466100.KS,69.0,50.54,0,0,53.25
링크솔루션,474650.KS,78.66,54.17,0,0,52.69
애드포러스,397810.KS,46.76,63.64,0,0,52.55
쓰리에이로직스,177900.KS,73.3,58.02,0,0,51.91
웨이비스,289930.KS,24.08,44.09,0,0,51.01
아스테라시스,450950.KS,78.57,53.33,0,0,50.57
LG씨엔에스,064400.KS,62.45,53.42,0,0,50.55
