name,ticker
에스팀,458350.KS
케이뱅크,279570.KS
덕양에너젠,0001A0.KS
삼성스팩13호,0115H0.KS
엔비알모션,0004V0.KS
지에프아이,493330.KS
삼미금속,012210.KS
세미파이브,490470.KS
리브스메드,491000.KS
미래에셋비전스팩10호,0097F0.KS
미래에셋비전스팩11호,0099W0.KS
삼진식품,0013V0.KS
엔더블유시,059180.KS
하나36호스팩,0101C0.KS
IBKS제25호스팩,0099X0.KS
알지노믹스,476830.KS
나라스페이스테크놀로지,478340.KS
아크릴,0007C0.KS
메리츠제1호스팩,0088D0.KS
티엠씨,217590.KS
교보19호스팩,0098T0.KS
쿼드메디슨,464490.KS
키움히어로제1호스팩,466690.KS
유진스팩12호,0105P0.KS
이지스,261520.KS
페스카로,0015S0.KS
테라뷰,950250.KS
엔에이치스팩32호,0054V0.KS
에임드바이오,0009K0.KS
미래에셋비전스팩9호,0096D0.KS
삼성스팩12호,0096B0.KS
미래에셋비전스팩8호,0093G0.KS
아로마티카,0015N0.KS
삼성에피스홀딩스,0126Z0.KS
삼양바이오팜,0120G0.KS
신영스팩11호,0091W0.KS
비엔케이제3호스팩,0068Y0.KS
비츠로넥스텍,488900.KS
씨엠티엑스,388210.KS
더핑크퐁컴퍼니,403850.KS
아이엘로보틱스,403810.KS
그린광학,0015G0.KS
알트,459550.KS
세나테크놀로지,061090.KS
큐리오시스,494120.KS
이노테크,469610.KS
노타,486990.KS
삼익제약,014950.KS
명인제약,317450.KS
KB제33호스팩,0072Z0.KS
삼성스팩11호,0071M0.KS
에스투더블유,488280.KS
오아,342870.KS
본시스템즈,496320.KS
그래피,318060.KS
애드포러스,397810.KS
삼성스팩10호,0044K0.KS
제이피아이헬스케어,0010V0.KS
한라캐스트,125490.KS
에스엔시스,0008Z0.KS
삼양컴텍,484590.KS
교보18호스팩,0041B0.KS
지투지바이오,456160.KS
아이티켐,309710.KS
하나35호스팩,0041L0.KS
대한조선,439260.KS
프로티나,468530.KS
엔알비,475230.KS
뉴로핏,380550.KS
도우인시스,484120.KS
디비금융제14호스팩,0004Y0.KS
엘에스스팩1호,0041J0.KS
아우토크립트,331740.KS
대신밸류리츠,0030R0.KS
뉴키즈온,462310.KS
싸이닉솔루션,234030.KS
KB제32호스팩,0037T0.KS
뉴엔AI,463020.KS
지에프씨생명과학,388610.KS
케이지에이,455180.KS
지씨지놈,340450.KS
링크솔루션,474650.KS
키스트론,475430.KS
신한제16호스팩,496070.KS
인투셀,287840.KS
달바글로벌,483650.KS
바이오비쥬,489460.KS
이뮨온시아,424870.KS
바이오포트,188040.KS
티씨머티리얼즈,125020.KS
로킷헬스케어,376900.KS
오가노이드사이언스,476040.KS
원일티엔아이,136150.KS
나우로보틱스,459510.KS
에이아이코리아,364950.KS
쎄크,081180.KS
한국피아이엠,448900.KS
에이유브랜즈,481070.KS
우양에이치씨,101970.KS
더즌,462860.KS
심플랫폼,444530.KS
티엑스알로보틱스,484810.KS
한텍,098070.KS
한화플러스제5호스팩,498390.KS
씨케이솔루션,480370.KS
서울보증보험,031210.KS
에스엠씨지,460870.KS
엠디바이스,226590.KS
대진첨단소재,393970.KS
에르코스,435570.KS
엘케이켐,489500.KS
위너스,479960.KS
모티브링크,463480.KS
동국생명과학,303810.KS
오름테라퓨틱,475830.KS
동방메디컬,240550.KS
아이에스티이,212710.KS
LG씨엔에스,064400.KS
아이지넷,462980.KS
피아이이,452450.KS
삼양엔씨켐,482630.KS
데이원컴퍼니,373160.KS
